ItemId	CategoryType	CategoryName	ItemName	PrefabKey
1	Food	식품	아보카도	Prefabs/Items/Food/Avokado
2	Food	식품	베이글	Prefabs/Items/Food/Bagel
3	Food	식품	바게트	Prefabs/Items/Food/Baguette
4	Food	식품	바나나 우유	Prefabs/Items/Food/Binggra_milk_bottle_01
5	Food	식품	맥주	Prefabs/Items/Food/Bottle_of_beer_02
6	Food	식품	와인	Prefabs/Items/Food/Bottle_of_wine_02
7	Food	식품	닭다리	Prefabs/Items/Food/Chicken_leg_01
8	Food	식품	코코넛	Prefabs/Items/Food/Coconut
9	Food	식품	쿠키	Prefabs/Items/Food/Cookie_01
10	Food	식품	크루아상	Prefabs/Items/Food/Croissant_01
11	Food	식품	도넛	Prefabs/Items/Food/Donut_01
12	Food	식품	에클레어	Prefabs/Items/Food/Eclair_01
13	Food	식품	계란	Prefabs/Items/Food/Egg_tray_big_closed
14	Food	식품	키위	Prefabs/Items/Food/Kiwi
15	Food	식품	레몬	Prefabs/Items/Food/Lemon
16	Food	식품	라임	Prefabs/Items/Food/Lime
17	Food	식품	멜론	Prefabs/Items/Food/Melon
18	Food	식품	우유	Prefabs/Items/Food/Milk_botle
19	Food	식품	오렌지	Prefabs/Items/Food/Orange
20	Food	식품	팬케이크	Prefabs/Items/Food/Pancake
21	Food	식품	프레첼	Prefabs/Items/Food/Pretzel
22	Food	식품	갈비	Prefabs/Items/Food/Ribs_01
23	Food	식품	와플	Prefabs/Items/Food/Round_waffle
24	Food	식품	소시지	Prefabs/Items/Food/Sausage_mini_01
25	Food	식품	사이다	Prefabs/Items/Food/Soda_bottle_01
26	Food	식품	콜라	Prefabs/Items/Food/Soda_bottle_02
27	Food	식품	오렌지 탄산음료	Prefabs/Items/Food/Soda_bottle_03
28	Food	식품	스테이크	Prefabs/Items/Food/Steak_meet_01
29	Food	식품	블루베리	Prefabs/Items/Food/Three_blueberries
30	Food	식품	참치 통조림	Prefabs/Items/Food/Tin_04
31	Food	식품	식빵	Prefabs/Items/Food/Toast_bread
32	Food	식품	바나나	Prefabs/Items/Food/Two_bananas
33	Food	식품	체리	Prefabs/Items/Food/Two_cherries
34	Food	식품	소시지 롤빵	Prefabs/Items/Food/Vienna_tube_01
35	Food	식품	수박	Prefabs/Items/Food/Watermelon
36	Food	식품	소금빵	Prefabs/Items/Food/White_bread
37	Food	식품	통닭	Prefabs/Items/Food/Сhicken_carcass_01
38	Kitchenware	주방용품	유리컵	Prefabs/Items/Kitchenware/Cup_glass
39	Kitchenware	주방용품	도마	Prefabs/Items/Kitchenware/Cutting_board_01
40	Kitchenware	주방용품	웍	Prefabs/Items/Kitchenware/Deep_frying_pan_01
41	Kitchenware	주방용품	주방세제	Prefabs/Items/Kitchenware/Dishwashing_detergent
42	Kitchenware	주방용품	식기건조대	Prefabs/Items/Kitchenware/Dish_dryer
43	Kitchenware	주방용품	주방 수세미	Prefabs/Items/Kitchenware/Dish_sponge
44	Kitchenware	주방용품	포크	Prefabs/Items/Kitchenware/Fork
45	Kitchenware	주방용품	주방걸이	Prefabs/Items/Kitchenware/Hanger
46	Kitchenware	주방용품	커피포트	Prefabs/Items/Kitchenware/Kettle_01
47	Kitchenware	주방용품	오븐장갑	Prefabs/Items/Kitchenware/Kitchen_potholder_01
48	Kitchenware	주방용품	뒤집개	Prefabs/Items/Kitchenware/Kitchen_spatula_01
49	Kitchenware	주방용품	볶음주걱	Prefabs/Items/Kitchenware/Kitchen_spatula_02
50	Kitchenware	주방용품	식칼	Prefabs/Items/Kitchenware/Knife_01
